PartitionKey,timeOfTweet,,,Prob,0.695411405
Ben Carson,Sun Feb 28 15:03:26 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:03:27 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:03:32 +0000 2016,,,0.699262321,5.537608019
Ben Carson,Sun Feb 28 15:03:32 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:03:38 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:03:42 +0000 2016,,,0.686993897,-12.10435745
Ben Carson,Sun Feb 28 15:03:43 +0000 2016,,,0.705880046,15.05388134
Ben Carson,Sun Feb 28 15:03:43 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:03:55 +0000 2016,,,0.667780042,-39.73383672
Ben Carson,Sun Feb 28 15:03:55 +0000 2016,,,0.678665578,-24.080461
Ben Carson,Sun Feb 28 15:03:59 +0000 2016,,,0.769342124,106.3122034
Ben Carson,Sun Feb 28 15:03:59 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:04:09 +0000 2016,,,0.641904593,-76.94267282
Ben Carson,Sun Feb 28 15:04:16 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:04:19 +0000 2016,,,0.73103416,51.22543937
Ben Carson,Sun Feb 28 15:04:24 +0000 2016,,,0.783475816,126.63642
Ben Carson,Sun Feb 28 15:04:25 +0000 2016,,,0.644241154,-73.58270348
Ben Carson,Sun Feb 28 15:04:33 +0000 2016,,,0.700272262,6.989900853
Ben Carson,Sun Feb 28 15:04:37 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:04:41 +0000 2016,,,0.689420879,-8.614362923
Ben Carson,Sun Feb 28 15:04:42 +0000 2016,,,0.677925169,-25.14516744
Ben Carson,Sun Feb 28 15:04:44 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:04:49 +0000 2016,,,0.650052309,-65.22627596
Ben Carson,Sun Feb 28 15:04:55 +0000 2016,,,0.675946295,-27.9907837
